,titles,links,percents
91,¿Qué han acordado el Gobierno y las FARC en estos dos años de diálogo?,https://www.europapress.es/internacional/noticia-acordado-gobierno-farc-dos-anos-dialogo-20141117185434.html,35%
92,"Uribe asegura que las FARC obligaron a los colombianos ""con un fusil en el cuello"" a votar por Santos",https://www.europapress.es/internacional/noticia-uribe-asegura-farc-obligaron-colombianos-fusil-cuello-votar-santos-20140626233502.html,35%
93,"Uribe denuncia a Santos por ""fraude electoral"" y ""abuso de poder"", relacionándole con la compra de votos",https://www.europapress.es/internacional/noticia-uribe-denuncia-santos-fraude-electoral-abuso-poder-relacionandole-compra-votos-20140614005258.html,35%
94,La Fiscalía investigará si el abogado de Zuluaga presentó una falsa denuncia por el vídeo del 'hacker',https://www.europapress.es/internacional/noticia-fiscalia-investigara-si-abogado-zuluaga-presento-falsa-denuncia-video-hacker-20140524033420.html,35%
95,Los escándalos de campaña desplazan al diálogo de paz como eje de las elecciones presidenciales,https://www.europapress.es/internacional/noticia-escandalos-campana-desplazan-dialogo-paz-eje-elecciones-presidenciales-20140523164910.html,35%
96,Zuluaga denuncia al español que es testigo clave en la investigación sobre el espionaje al proceso de paz,https://www.europapress.es/internacional/noticia-zuluaga-denuncia-espanol-testigo-clave-investigacion-espionaje-proceso-paz-20140522210358.html,35%
97,"Uribe denuncia una ""interferencia ilegal"" de Santos para forzar su comparecencia ante la Fiscalía",https://www.europapress.es/internacional/noticia-uribe-denuncia-interferencia-ilegal-santos-forzar-comparecencia-fiscalia-20140513173803.html,25%
98,"Los 'uribistas' cargan contra Santos por minimizar el ""fraude electoral""",https://www.europapress.es/internacional/noticia-uribistas-cargan-contra-santos-minimizar-fraude-electoral-20140315203334.html,35%
99,"Santos niega las acusaciones de fraude electoral y añade que ""si hubo errores se pueden corregir""",https://www.europapress.es/internacional/noticia-santos-niega-acusaciones-fraude-electoral-anade-si-hubo-errores-pueden-corregir-20140315012210.html,35%
100,José Cavero.- Asuntos turbios en la política,https://www.europapress.es/otr-press/firmas/josecavero/noticia-jose-cavero-asuntos-turbios-politica-20090208000031.html,35%
101,Colombia.- Las FARC afirman que un misil de EEUU fue disparado el 1 de marzo en el campamento de 'Raúl Reyes' en Ecuador,https://www.europapress.es/internacional/noticia-colombia-farc-afirman-misil-eeuu-fue-disparado-marzo-campamento-raul-reyes-ecuador-20080401004641.html,35%
102,"Crónica DDHH.- HRW lamenta que se califique de demócratas a ciertos regímenes por el ""solo hecho de convocar elecciones""",https://www.europapress.es/internacional/noticia-cronica-ddhh-hrw-lamenta-califique-democratas-ciertos-regimenes-solo-hecho-convocar-elecciones-20080201130831.html,45%
103,"Venezuela.- Anasagasti admite su ""agradable sorpresa"" y destaca que la derrota de Chávez es ""vitamina"" para la oposición",https://www.europapress.es/nacional/noticia-venezuela-anasagasti-admite-agradable-sorpresa-destaca-derrota-chavez-vitamina-oposicion-20071203121020.html,35%
104,Colombia.- Uribe promete 5.000 dólares a cualquiera que denuncie un acto de fraude electoral en los comicios locales,https://www.europapress.es/internacional/noticia-colombia-uribe-promete-5000-dolares-cualquiera-denuncie-acto-fraude-electoral-comicios-locales-20071028181323.html,55%
105,Crónica Colombia.- Conmoción en Colombia por presuntos vínculos de la familia de la ministra Araujo con paramilitares,https://www.europapress.es/internacional/noticia-cronica-colombia-conmocion-colombia-presuntos-vinculos-familia-ministra-araujo-paramilitares-20070216210020.html,35%
106,Colombia.- Organizaciones periodísticas critican la prohibición de publicar un informe sobre vínculos con paramilitares,https://www.europapress.es/internacional/noticia-colombia-organizaciones-periodisticas-critican-prohibicion-publicar-informe-vinculos-paramilitares-20070130001136.html,35%
107,Nicaragua.- El sandinismo recupera hoy con Daniel Ortega el poder en Nicaragua en presencia de numerosos presidentes,https://www.europapress.es/internacional/noticia-nicaragua-sandinismo-recupera-hoy-daniel-ortega-poder-nicaragua-presencia-numerosos-presidentes-20070110085226.html,25%
108,Colombia.- La Fiscalía pide al Consejo de Estado que anule el acto que oficializó la elección del nuevo Senado,https://www.europapress.es/internacional/noticia-colombia-fiscalia-pide-consejo-estado-anule-acto-oficializo-eleccion-nuevo-senado-20060715211820.html,45%
109,Colombia.- Calma relativa durante toda la jornada y una amplia abstención al cierre de los colegios electorales,https://www.europapress.es/internacional/noticia-colombia-calma-relativa-toda-jornada-amplia-abstencion-cierre-colegios-electorales-20060312224010.html,45%
110,"Los 34 presidentes presentes en Quebec aprueban una ""cláusula democrática"" que será implementada por la OEA",https://www.europapress.es/economia/noticia-34-presidentes-presentes-quebec-aprueban-clausula-democratica-sera-implementada-oea-20010422124502.html,35%
