,titles,links,percents
289,Morales apoya la propuesta de la CIDH de crear un grupo para investigar los sucesos de la crisis en Bolivia,https://www.europapress.es/internacional/noticia-morales-apoya-propuesta-cidh-crear-grupo-investigar-sucesos-crisis-bolivia-20191201011146.html,35%
290,Fermín Bocos.- Revuelta en América Latina,https://www.europapress.es/otr-press/firmas/ferminbocos/noticia-fermin-bocos-revuelta-america-latina-20191130080011.html,35%
291,La CIDH plantea la creación de un grupo para investigar los sucesos de la crisis política en Bolivia,https://www.europapress.es/internacional/noticia-cidh-plantea-creacion-grupo-investigar-sucesos-crisis-politica-bolivia-20191130075054.html,35%
292,Activistas latinoamericanas denuncian la violencia contra las mujeres como el genocidio más antiguo,https://www.europapress.es/internacional/noticia-activistas-latinoamericanas-denuncian-violencia-contra-mujeres-genocidio-mas-antiguo-20191125202720.html,35%
293,"Desigualdad salarial y conciliación laboral, principales escollos para las ejecutivas iberoamericanas",https://www.europapress.es/internacional/noticia-desigualdad-salarial-conciliacion-laboral-principales-escollos-ejecutivas-iberoamericanas-20191125195855.html,25%
294,"Colombia, entre el optimismo y la violencia tres años después del acuerdo de paz con las FARC",https://www.europapress.es/internacional/noticia-colombia-optimismo-violencia-tres-anos-despues-acuerdo-paz-farc-20191123100656.html,35%
295,Duque aumenta la presencia de las fuerzas de seguridad e Inteligencia en Colombia por las protestas,https://www.europapress.es/internacional/noticia-duque-aumenta-presencia-fuerzas-seguridad-inteligencia-colombia-protestas-20191123035017.html,35%
296,"Sexo por supervivencia, una realidad antes impensable para algunas venezolanas en Colombia",https://www.europapress.es/internacional/noticia-sexo-supervivencia-realidad-antes-impensable-algunas-venezolanas-colombia-20191117100836.html,35%
297,Holmes Trujillo toma posesión como ministro de Defensa de Colombia,https://www.europapress.es/internacional/noticia-holmes-trujillo-toma-posesion-ministro-defensa-colombia-20191117041634.html,35%
298,Expertos mundiales reclaman en Cáceres más atención a la infancia para conseguir sociedades más justas,https://www.europapress.es/extremadura/noticia-expertos-mundiales-reclaman-caceres-mas-atencion-infancia-conseguir-sociedades-mas-justas-20191113124105.html,25%
299,Duque pone al hasta ahora ministro de Exteriores en Defensa tras el escándalo del bombardeo en Caquetá,https://www.europapress.es/internacional/noticia-duque-pone-ahora-ministro-exteriores-defensa-escandalo-bombardeo-caqueta-20191112195521.html,35%
300,"El Grupo de Lima rechaza las parlamentarias anticipadas en Venezuela porque solo buscan ""disolver"" el Congreso",https://www.europapress.es/internacional/noticia-grupo-lima-rechaza-parlamentarias-anticipadas-venezuela-porque-solo-buscan-disolver-congreso-20191108214733.html,25%
301,"La OEA pide al Gobierno ""acciones eficaces"" para mitigar el impacto de la violencia armada en civiles",https://www.europapress.es/internacional/noticia-oea-pide-gobierno-acciones-eficaces-mitigar-impacto-violencia-armada-civiles-20191106173325.html,35%
302,Organizaciones sociales de Cauca suspenden el diálogo con el Gobierno de Colombia tras la matanza de indígenas,https://www.europapress.es/internacional/noticia-organizaciones-sociales-cauca-suspenden-dialogo-gobierno-colombia-matanza-indigenas-20191106165339.html,25%
303,La candidata ecologista Claudia López se convierte en la primera alcaldesa de Bogotá,https://www.europapress.es/internacional/noticia-candidata-ecologista-claudia-lopez-convierte-primera-alcaldesa-bogota-20191028002044.html,35%
304,Colombia elige alcaldes y gobernadores este domingo sumida en la violencia,https://www.europapress.es/internacional/noticia-colombia-elige-alcaldes-gobernadores-domingo-sumida-violencia-20191027085145.html,35%
305,El presidente de la Federación Internacional de Cruz Roja denuncia la manipulación de la crisis en Venezuela,https://www.europapress.es/internacional/noticia-presidente-federacion-internacional-cruz-roja-denuncia-manipulacion-crisis-venezuela-20191026132710.html,35%
307,Asesinado un ex guerrillero de las FARC en uno de los espacios territoriales para la reincorporación en Colombia,https://www.europapress.es/internacional/noticia-asesinado-ex-guerrillero-farc-espacios-territoriales-reincorporacion-colombia-20191025191054.html,35%
308,"La OEA acepta la invitación del Gobierno de Bolivia para ""verificar la transparencia"" del proceso electoral",https://www.europapress.es/internacional/noticia-oea-acepta-invitacion-gobierno-bolivia-verificar-transparencia-proceso-electoral-20191023014418.html,25%
309,Bolivia.- El Gobierno pide a la OEA que audite el resultado electoral mientras la violencia continúa,https://www.europapress.es/internacional/noticia-bolivia-gobierno-pide-oea-audite-resultado-electoral-mientras-violencia-continua-20191022223315.html,25%
310,El Gobierno pide a la OEA que audite el resultado electoral mientras la violencia continúa,https://www.europapress.es/internacional/noticia-gobierno-bolivia-invita-oea-audite-computo-electoral-validar-resultados-20191022220242.html,25%
311,EEUU y Colombia lanzan una iniciativa para promocionar el café cultivado en zonas afectadas por la violencia,https://www.europapress.es/internacional/noticia-eeuu-colombia-lanzan-iniciativa-promocionar-cafe-cultivado-zonas-afectadas-violencia-20191019074622.html,35%
312,"World Press Photo en València: Sobrecogedoras imágenes de migraciones a EEUU, cambio climático y un guiño a las Fallas",https://www.europapress.es/cultura/noticia-world-press-photo-valencia-sobrecogedoras-imagenes-migraciones-eeuu-cambio-climatico-guino-fallas-20191018150126.html,35%
314,La Fiscalía registra una sede del partido de Correa por la investigación sobre la violencia en las protestas,https://www.europapress.es/internacional/noticia-fiscalia-registra-sede-partido-correa-investigacion-violencia-protestas-20191015194050.html,35%
315,"Ecuador.- Argentina y Colombia piden una ""salida institucional"" para resolver la crisis en Ecuador",https://www.europapress.es/internacional/noticia-ecuador-argentina-colombia-piden-salida-institucional-resolver-crisis-ecuador-20191013050453.html,35%
316,"Argentina y Colombia piden una ""salida institucional"" para resolver la crisis en Ecuador",https://www.europapress.es/internacional/noticia-argentina-colombia-piden-salida-institucional-resolver-crisis-ecuador-20191012230745.html,35%
317,Atacadas las sedes de la FARC y otros partidos políticos de izquierda en Bogotá,https://www.europapress.es/internacional/noticia-atacadas-sedes-farc-otros-partidos-politicos-izquierda-bogota-20191011171725.html,25%
318,"La ONU pide al Gobierno de Colombia más protección para ex guerrilleros, líderes sociales y candidatos",https://www.europapress.es/internacional/noticia-onu-pide-gobierno-colombia-mas-proteccion-ex-guerrilleros-lideres-sociales-candidatos-20191010215044.html,35%
319,"Guaidó da su apoyo a Moreno y reprocha a Maduro que ""use el dinero de los venezolanos para desestabilizar""",https://www.europapress.es/internacional/noticia-guaido-da-apoyo-moreno-reprocha-maduro-use-dinero-venezolanos-desestabilizar-20191008165023.html,25%
