,titles,links,percents
50,Uribe acusa a Santos de comprar votos y de no condenar las acciones de las FARC contra la campaña de Zuluaga,https://www.europapress.es/internacional/noticia-uribe-acusa-santos-comprar-votos-no-condenar-acciones-farc-contra-campana-zuluaga-20140616071813.html,37%
51,"Uribe denuncia a Santos por ""fraude electoral"" y ""abuso de poder"", relacionándole con la compra de votos",https://www.europapress.es/internacional/noticia-uribe-denuncia-santos-fraude-electoral-abuso-poder-relacionandole-compra-votos-20140614005258.html,46%
52,"Santos equipara la supuesta compra de parlamentarios con ""las inversiones""",https://www.europapress.es/internacional/noticia-santos-equipara-supuesta-compra-parlamentarios-inversiones-20140322225414.html,29%
53,"Los 'uribistas' cargan contra Santos por minimizar el ""fraude electoral""",https://www.europapress.es/internacional/noticia-uribistas-cargan-contra-santos-minimizar-fraude-electoral-20140315203334.html,29%
54,Los candidatos presidenciales dudan de las garantías electorales,https://www.europapress.es/internacional/noticia-candidatos-presidenciales-dudan-garantias-electorales-20140313230915.html,37%
55,"Se registran 104 ""posibles irregularidades y delitos"" en la jornada electoral",https://www.europapress.es/internacional/noticia-registran-104-posibles-irregularidades-delitos-jornada-electoral-20140309205250.html,29%
56,Doce detenidos en el marco de las elecciones legislativas colombianas,https://www.europapress.es/internacional/noticia-detienen-doce-personas-marco-elecciones-legislativas-20140309201251.html,29%
57,"La Iglesia colombiana llama a no abstenerse y a votar ""por la paz"" en las presidenciales",https://www.europapress.es/internacional/noticia-iglesia-colombiana-llama-no-abstenerse-votar-paz-presidenciales-20140206202052.html,29%
58,"Un experto alerta del ""peligro más que evidente"" de la aparición de candidatos ""populistas"" en España",https://www.europapress.es/castilla-y-leon/noticia-experto-alerta-peligro-mas-evidente-aparicion-candidatos-populistas-espana-20130226134452.html,29%
59,Laredo da luz verde a las VPO en la Puebla Vieja y a la renovación del alumbrado público de la villa,https://www.europapress.es/cantabria/noticia-laredo-da-luz-verde-vpo-puebla-vieja-renovacion-alumbrado-publico-villa-20120907182029.html,29%
